title,budget,revenue,imdb_rating,runtime,main_genre,roi
"Crouching Tiger, Hidden Dragon",17000000.0,213978518.0,7.9,120.0,Adventure,1158.7
Akira,5700000.0,49000000.0,8.0,124.0,Animation,759.65
48 Hrs.,12000000.0,78868508.0,6.9,96.0,Crime,557.24
Star Trek: The Motion Picture,44000000.0,139346243.0,6.4,131.0,Science Fiction,216.7
Lost in Translation,4000000.0,119723856.0,7.7,102.0,Drama,2893.1
Star Trek II: The Wrath of Khan,12000000.0,96594943.0,7.7,112.0,Action,704.96
The Dark Knight,185000000.0,1004558444.0,9.1,152.0,Drama,443.0
Star Trek III: The Search for Spock,18000000.0,87000000.0,6.7,105.0,Science Fiction,383.33
Ocean's Eleven,85000000.0,450717150.0,7.7,116.0,Thriller,430.26
Edward Scissorhands,20000000.0,86024005.0,7.8,105.0,Fantasy,330.12
Ocean's Twelve,110000000.0,362744280.0,6.5,125.0,Thriller,229.77
Breakfast at Tiffany's,2500000.0,9500000.0,7.5,115.0,Comedy,280.0
Back to the Future Part II,40000000.0,332000000.0,7.8,108.0,Adventure,730.0
K-PAX,48000000.0,50315140.0,7.4,120.0,Science Fiction,4.82
Star Trek IV: The Voyage Home,21000000.0,133000000.0,7.3,118.0,Science Fiction,533.33
Predator 2,35000000.0,57120318.0,6.3,108.0,Science Fiction,63.2
28 Days Later,8000000.0,85032676.0,7.5,113.0,Horror,962.91
Star Trek V: The Final Frontier,33000000.0,63000000.0,5.5,106.0,Science Fiction,90.91
"20,000 Leagues Under the Sea",5000000.0,28200000.0,7.2,127.0,Adventure,464.0
Star Trek VI: The Undiscovered Country,27000000.0,96888996.0,7.2,110.0,Science Fiction,258.85
Saw,1200000.0,104045735.0,7.6,103.0,Horror,8570.48
The Fisher King,24000000.0,41895491.0,7.5,138.0,Comedy,74.56
Blown Away,28000000.0,30156002.0,6.2,121.0,Action,7.7
The Interpreter,80000000.0,162944923.0,6.4,128.0,Crime,103.68
Minority Report,102000000.0,358372926.0,7.6,145.0,Science Fiction,251.35
The Good German,32000000.0,5914908.0,6.0,108.0,Drama,-81.52
The Wizard,6000000.0,14278900.0,6.1,100.0,Adventure,137.98
Jackie Brown,12000000.0,74727492.0,7.5,154.0,Crime,522.73
A Clockwork Orange,2200000.0,27033812.0,8.2,137.0,Science Fiction,1128.81
Lucky Number Slevin,27000000.0,56300000.0,7.7,110.0,Drama,108.52
Sin City,40000000.0,158733820.0,8.0,124.0,Crime,296.83
Sin City: A Dame to Kill For,65000000.0,39407616.0,6.5,102.0,Action,-39.37
The Name of the Rose,18000000.0,77200000.0,7.7,130.0,Drama,328.89
Star Trek: Generations,38000000.0,118071125.0,6.6,117.0,Science Fiction,210.71
Amélie,10000000.0,173921954.0,8.3,122.0,Comedy,1639.22
Back to the Future Part III,40000000.0,244527583.0,7.5,119.0,Adventure,511.32
Braveheart,72000000.0,213216216.0,8.3,177.0,Action,196.13
To Be or Not to Be,1200000.0,1500000.0,8.1,99.0,Comedy,25.0
Star Trek: First Contact,46000000.0,146027888.0,7.6,111.0,Science Fiction,217.45
Star Trek: Insurrection,70000000.0,112587658.0,6.4,102.0,Science Fiction,60.84
Star Trek: Nemesis,60000000.0,67336470.0,6.4,116.0,Science Fiction,12.23
Mean Streets,500000.0,3000000.0,7.2,111.0,Drama,500.0
Hotel Rwanda,17500000.0,38000000.0,8.1,121.0,Drama,117.14
Dead Poets Society,16400000.0,235900000.0,8.1,128.0,Drama,1338.41
North by Northwest,4000000.0,13275000.0,8.3,136.0,Thriller,231.88
Saw III,10000000.0,164874275.0,6.2,108.0,Horror,1548.74
Saw II,4000000.0,152925093.0,6.6,93.0,Horror,3723.13
Ali: Fear Eats the Soul,130000.0,186757.0,8.0,93.0,Romance,43.66
Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,786636033.0,6.2,122.0,Adventure,325.21
The Terminator,6400000.0,78371200.0,8.1,108.0,Action,1124.55
Volver,12899867.0,85582407.0,7.6,121.0,Comedy,563.44
Rebel Without a Cause,1500000.0,4500000.0,7.6,111.0,Drama,200.0
Rebecca,1288000.0,7592465.0,8.1,130.0,Mystery,489.48
Boys Don't Cry,2000000.0,11540607.0,7.5,118.0,Crime,477.03
The Outsiders,10000000.0,33697647.0,7.0,91.0,Crime,236.98
Bride of Frankenstein,393750.0,2000000.0,7.8,75.0,Horror,407.94
Syriana,50000000.0,93974620.0,6.9,128.0,Drama,87.95
Rumble Fish,10000000.0,2494480.0,7.1,94.0,Crime,-75.06
The Cabinet of Dr. Caligari,18000.0,8811.0,8.0,77.0,Drama,-51.05
Stand by Me,8000000.0,52300000.0,8.1,89.0,Crime,553.75
Muriel's Wedding,3000000.0,15119639.0,7.2,106.0,Comedy,403.99
Young Adam,6400000.0,2500000.0,6.3,93.0,Drama,-60.94
The Godfather,6000000.0,245066411.0,9.2,175.0,Drama,3984.44
Some Like It Hot,2883848.0,25000000.0,8.2,122.0,Comedy,766.9
The Godfather Part II,13000000.0,102600000.0,9.0,202.0,Drama,689.23
Natural Born Killers,34000000.0,50283563.0,7.2,118.0,Crime,47.89
The Godfather Part III,54000000.0,136766062.0,7.6,162.0,Crime,153.27
High Fidelity,30000000.0,47100000.0,7.4,113.0,Drama,57.0
King Kong,672000.0,10001781.0,7.9,104.0,Adventure,1388.36
About a Boy,27000000.0,129000000.0,7.1,101.0,Drama,377.78
