title,budget,revenue,imdb_rating,runtime,main_genre,roi
Bicentennial Man,100000000.0,87423861.0,6.9,131.0,Science Fiction,-12.58
Big,18000000.0,151927281.0,7.3,104.0,Fantasy,744.04
Mr. Magorium's Wonder Emporium,65000000.0,69500000.0,6.2,93.0,Family,6.92
Closer,27000000.0,115505027.0,7.1,104.0,Drama,327.8
Cold Mountain,79000000.0,173013509.0,7.2,154.0,War,119.0
Jakob the Liar,45000000.0,4956701.0,6.5,120.0,Comedy,-88.99
Jacob's Ladder,25000000.0,26118851.0,7.4,113.0,Drama,4.48
Clerks,27575.0,3151130.0,7.7,92.0,Comedy,11327.49
Mallrats,6000000.0,2122561.0,7.0,94.0,Romance,-64.62
Jay and Silent Bob Strike Back,22000000.0,33788161.0,6.8,104.0,Comedy,53.58
Clerks II,5000000.0,26888376.0,7.3,97.0,Comedy,437.77
Space Jam,80000000.0,250200000.0,6.5,87.0,Family,212.75
Inkheart,60000000.0,62803180.0,6.1,106.0,Adventure,4.67
Beowulf,70000000.0,195735876.0,6.3,115.0,Adventure,179.62
In the Name of the King: A Dungeon Siege Tale,60000000.0,13097915.0,3.8,127.0,Adventure,-78.17
Prime,22000000.0,67900000.0,6.2,102.0,Comedy,208.64
Executive Decision,55000000.0,121969216.0,6.5,132.0,Action,121.76
Married to the Mob,10000000.0,21486757.0,6.2,104.0,Comedy,114.87
Sneakers,23000000.0,105232691.0,7.1,126.0,Comedy,357.53
Field of Dreams,15000000.0,84431625.0,7.5,107.0,Drama,462.88
Local Color,3250000.0,32788.0,6.8,107.0,Drama,-98.99
Taxi,8700000.0,44218015.0,7.0,86.0,Action,408.25
Taxi 2,10500000.0,64433844.0,6.5,82.0,Action,513.66
Taxi 3,14500000.0,64497208.0,5.8,87.0,Action,344.81
Taxi 4,17500000.0,65114802.0,5.6,91.0,Action,272.08
Reign Over Me,20000000.0,22222308.0,7.4,124.0,Drama,11.11
10 Items or Less,400.0,1.0,6.5,81.0,Comedy,-99.75
Sicko,9000000.0,24538513.0,8.0,123.0,Documentary,172.65
Saving Grace,10000000.0,26330482.0,6.9,93.0,Crime,163.3
Westworld,1200000.0,10000000.0,6.9,89.0,Adventure,733.33
Topaz,4000000.0,6000000.0,6.2,127.0,Drama,50.0
The Bear,25000000.0,138241022.0,7.7,97.0,Adventure,452.96
Asterix at the Olympic Games,97250400.0,131856927.0,5.2,116.0,Fantasy,35.58
The Greatest Story Ever Told,20000000.0,15500000.0,6.6,199.0,Drama,-22.5
Double Dragon,3500000.0,2341309.0,3.9,96.0,Action,-33.11
The Nativity Story,35000000.0,46400000.0,6.8,101.0,Drama,32.57
Harley Davidson and the Marlboro Man,23000000.0,7434726.0,6.1,98.0,Action,-67.68
The Chronicles of Narnia: Prince Caspian,225000000.0,419665568.0,6.5,150.0,Adventure,86.52
Running Out of Time,225000.0,1866462.0,7.3,93.0,Drama,729.54
Eragon,100000000.0,250425512.0,5.1,104.0,Fantasy,150.43
The Princess Bride,16000000.0,30900000.0,8.0,99.0,Adventure,93.12
The Bourne Identity,60000000.0,214034224.0,7.8,119.0,Action,256.72
The Bourne Supremacy,75000000.0,288500217.0,7.7,108.0,Action,284.67
The Bourne Ultimatum,70000000.0,442824138.0,8.0,115.0,Action,532.61
The Bible: In the Beginning...,16500000.0,34900000.0,6.2,175.0,Adventure,111.52
Spanglish,80000000.0,55470154.0,6.4,130.0,Comedy,-30.66
Joe Versus the Volcano,25000000.0,39400000.0,5.9,102.0,Comedy,57.6
The Aviator,110000000.0,213719942.0,7.5,170.0,Drama,94.29
The Tailor of Panama,21000000.0,28000000.0,6.1,109.0,Drama,33.33
Born on the Fourth of July,14000000.0,161001698.0,7.2,145.0,Drama,1050.01
Short Circuit,10000000.0,40697761.0,6.6,98.0,Science Fiction,306.98
"Planes, Trains and Automobiles",15000000.0,49500000.0,7.6,93.0,Comedy,230.0
Shopgirl,10284523.0,11588205.0,6.3,104.0,Comedy,12.68
Mr. Destiny,20000000.0,15379253.0,6.4,110.0,Fantasy,-23.1
Innerspace,27000000.0,25900000.0,6.8,120.0,Action,-4.07
Uncle Buck,15000000.0,79300000.0,7.1,100.0,Comedy,428.67
The Great Outdoors,24000000.0,43455230.0,6.6,91.0,Comedy,81.06
Splash,8000000.0,69800000.0,6.3,111.0,Comedy,772.5
Armed and Dangerous,12000000.0,15945534.0,5.7,88.0,Action,32.88
Return to Me,24000000.0,36600000.0,7.0,115.0,Romance,52.5
An Officer and a Gentleman,7500000.0,129795554.0,7.1,124.0,Drama,1630.61
The Specialist,45000000.0,170362582.0,5.6,110.0,Action,278.58
The Mothman Prophecies,32000000.0,55305279.0,6.4,119.0,Drama,72.83
Deconstructing Harry,20000000.0,10686841.0,7.3,96.0,Comedy,-46.57
Heathers,3000000.0,1166207.0,7.1,103.0,Comedy,-61.13
Two Weeks Notice,60000000.0,199043242.0,6.2,101.0,Romance,231.74
The Game,50000000.0,109423648.0,7.7,129.0,Drama,118.85
Hard Candy,950000.0,7000000.0,7.0,104.0,Drama,636.84
In the Mouth of Madness,8000000.0,8946600.0,7.1,95.0,Horror,11.83
What Lies Beneath,100000000.0,291420351.0,6.6,130.0,Drama,191.42
Pleasantville,60000000.0,49800000.0,7.5,124.0,Fantasy,-17.0
Batman,1377800.0,3900000.0,6.5,105.0,Action,183.06
House of 1000 Corpses,7000000.0,17949758.0,6.0,89.0,Horror,156.43
Airplane II: The Sequel,15000000.0,27150534.0,6.2,85.0,Comedy,81.0
Dark City,27000000.0,27200000.0,7.6,100.0,Mystery,0.74
The Blair Witch Project,60000.0,248639099.0,6.5,81.0,Horror,414298.5
Sleepy Hollow,100000000.0,206071526.0,7.3,105.0,Fantasy,106.07
The Bounty,25000000.0,8613462.0,7.1,132.0,Action,-65.55
Ring,1200000.0,19400000.0,7.2,96.0,Horror,1516.67
Signs,72000000.0,408200000.0,6.8,106.0,Drama,466.94
Memoirs of an Invisible Man,40000000.0,14358033.0,6.0,99.0,Science Fiction,-64.1
Irma la Douce,5000000.0,25200000.0,7.3,147.0,Romance,404.0
Evan Almighty,175000000.0,174440724.0,5.4,96.0,Fantasy,-0.32
Postal,15000000.0,146741.0,4.5,100.0,Comedy,-99.02
Naked Lunch,16000000.0,2641357.0,6.9,115.0,Crime,-83.49
15 Minutes,60000000.0,56359980.0,6.1,120.0,Action,-6.07
40 Days and 40 Nights,17000000.0,95146283.0,5.6,94.0,Comedy,459.68
About Schmidt,30000000.0,105834556.0,7.2,125.0,Drama,252.78
The Abyss,43000000.0,90000098.0,7.5,140.0,Adventure,109.3
Adaptation.,19000000.0,32800000.0,7.7,115.0,Comedy,72.63
Addams Family Values,47000000.0,48919043.0,6.8,94.0,Comedy,4.08
"The Adventures of Priscilla, Queen of the Desert",2000000.0,29700000.0,7.5,103.0,Drama,1385.0
The Lodger: A Story of the London Fog,14670.0,83568.0,7.3,91.0,Crime,469.65
American Gigolo,5000000.0,52700000.0,6.3,117.0,Crime,954.0
An American in Paris,5635000.0,6981000.0,7.1,113.0,Music,23.89
American Pie 2,30000000.0,287553595.0,6.5,108.0,Comedy,858.51
American Splendor,2000000.0,6003587.0,7.4,101.0,Comedy,200.18
Clifford,19000000.0,7411659.0,5.5,89.0,Comedy,-60.99
The Curse of the Jade Scorpion,33000000.0,18914307.0,6.7,103.0,Comedy,-42.68
Pitch Black,23000000.0,53187659.0,7.0,108.0,Thriller,131.25
Reality Bites,11500000.0,33351557.0,6.6,98.0,Drama,190.01
The Chronicles of Riddick,105000000.0,115772733.0,6.6,119.0,Action,10.26
Rumor Has It...,70000000.0,88900000.0,5.5,97.0,Comedy,27.0
Identity,28000000.0,90259536.0,7.3,90.0,Mystery,222.36
The Apostle,5000000.0,19868354.0,7.1,134.0,Drama,297.37
Around the World in Eighty Days,6000000.0,42000000.0,6.7,182.0,Adventure,600.0
As Good as It Gets,50000000.0,314178011.0,7.7,139.0,Drama,528.36
Asterix & Obelix: Mission Cleopatra,58500000.0,131116046.0,6.7,108.0,Family,124.13
The Astronaut's Wife,75000000.0,19598588.0,5.4,109.0,Drama,-73.87
The Addams Family,30000000.0,191502426.0,7.0,100.0,Comedy,538.34
Backdraft,75000000.0,152368585.0,6.7,137.0,Drama,103.16
The First Wives Club,26000000.0,116400000.0,6.5,102.0,Comedy,347.69
The Three Musketeers,4500000.0,22018000.0,7.1,106.0,Action,389.29
Michael,20000000.0,119700000.0,5.7,105.0,Comedy,498.5
License to Wed,35000000.0,69307224.0,5.3,91.0,Comedy,98.02
Hairspray,75000000.0,90450008.0,6.7,117.0,Comedy,20.6
Becoming Jane,16500000.0,37311672.0,7.0,120.0,Romance,126.13
Ghostbusters II,37000000.0,215394738.0,6.6,108.0,Comedy,482.15
A Countess from Hong Kong,3500000.0,2000000.0,6.1,107.0,Comedy,-42.86
Roar,17000000.0,2000000.0,6.1,95.0,Adventure,-88.24
Pacific Heights,18000000.0,55000000.0,6.4,102.0,Thriller,205.56
Zabriskie Point,7000000.0,1000000.0,6.9,113.0,Drama,-85.71
How to Steal a Million,6400000.0,4400000.0,7.5,123.0,Comedy,-31.25
The Trial,1300000.0,94243.0,7.6,119.0,Crime,-92.75
Bloodline,12000000.0,8200000.0,4.6,116.0,Crime,-31.67
Dr. Jekyll and Mr. Hyde,535000.0,1300000.0,7.6,98.0,Horror,142.99
1408,25000000.0,133000000.0,6.8,104.0,Horror,432.0
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,724805.0,2616000.0,6.4,77.0,Comedy,260.92
Gods and Monsters,10000000.0,6451628.0,7.3,105.0,Drama,-35.48
Young Frankenstein,2800000.0,86273333.0,8.0,106.0,Comedy,2981.19
Frankenstein,291000.0,12000000.0,7.8,70.0,Drama,4023.71
Mary Shelley's Frankenstein,45000000.0,112000000.0,6.3,123.0,Drama,148.89
Night Watch,10000000.0,50336279.0,6.4,114.0,Fantasy,403.36
Ace Ventura: Pet Detective,15000000.0,107217396.0,6.9,86.0,Comedy,614.78
Doctor Dolittle,71000000.0,294500000.0,5.4,85.0,Comedy,314.79
Valley of the Dolls,5000000.0,50000000.0,6.0,123.0,Drama,900.0
Intolerance: Love's Struggle Throughout the Ages,385907.0,1750000.0,7.7,197.0,Drama,353.48
The Big Parade,382000.0,20000000.0,7.9,151.0,Romance,5135.6
42nd Street,439000.0,2281000.0,7.3,89.0,Comedy,419.59
Chances Are,16000000.0,16300000.0,6.5,108.0,Fantasy,1.88
Mystery Science Theater 3000: The Movie,5000000.0,1000000.0,7.1,73.0,Comedy,-80.0
Frankenstein Unbound,11500000.0,334748.0,5.4,85.0,Horror,-97.09
Bud Abbott and Lou Costello Meet Frankenstein,800000.0,4812444.0,7.3,83.0,Horror,501.56
It Happened One Night,325000.0,4500000.0,8.1,105.0,Comedy,1284.62
The Curse of Frankenstein,270000.0,8000000.0,7.0,83.0,Horror,2862.96
Top Hat,609000.0,3202000.0,7.7,101.0,Music,425.78
Modern Times,1500000.0,1800000.0,8.5,87.0,Comedy,20.0
Mr. Smith Goes to Washington,1500000.0,9600000.0,8.1,129.0,Comedy,540.0
My Darling Clementine,2000000.0,2750000.0,7.7,97.0,Western,37.5
Red River,3000000.0,9012000.0,7.7,133.0,Western,200.4
The Treasure of the Sierra Madre,3800000.0,4307000.0,8.2,126.0,Adventure,13.34
Basic Instinct 2,70000000.0,38629478.0,4.4,114.0,Crime,-44.82
"The Tulse Luper Suitcases, Part 1: The Moab Story",10000000.0,25800.0,6.7,127.0,War,-99.74
"The Tulse Luper Suitcases, Part 2: Vaux to the Sea",10000000.0,24250.0,6.9,108.0,War,-99.76
"The Tulse Luper Suitcases, Part 3: From Sark to the Finish",10000000.0,12000.0,6.8,124.0,War,-99.88
The Quiet Man,1750000.0,3800000.0,7.7,129.0,Romance,117.14
Shane,3100000.0,20000000.0,7.6,118.0,Drama,545.16
A Star Is Born,5019770.0,12000000.0,7.5,176.0,Drama,139.05
Midnight Cowboy,3600000.0,44785053.0,7.8,113.0,Drama,1144.03
Nashville,2200000.0,9995555.0,7.6,160.0,Drama,354.34
Lady Frankenstein,200000.0,225295.0,5.2,99.0,Horror,12.65
Gangs of New York,100000000.0,193772504.0,7.5,168.0,Drama,93.77
Bad Company,70000000.0,65977295.0,5.6,116.0,Action,-5.75
Bambi,858000.0,267447150.0,7.3,69.0,Animation,31071.0
Bandits,75000000.0,67631903.0,6.5,123.0,Comedy,-9.82
Barry Lyndon,11000000.0,31500000.0,8.1,185.0,Drama,186.36
Battle Royale,4500000.0,30600000.0,7.5,113.0,Drama,580.0
Battle Royale II: Requiem,9080000.0,14902587.0,4.6,155.0,Action,64.13
Beavis and Butt-Head Do America,12000000.0,63118386.0,6.8,81.0,Animation,425.99
"Good Night, and Good Luck.",7000000.0,54600000.0,7.4,92.0,Drama,680.0
Mildred Pierce,1453000.0,5638000.0,7.9,111.0,Crime,288.02
My Friend Frankenstein,55000.0,100000.0,5.6,80.0,Comedy,81.82
Mr. Brooks,20000000.0,48443734.0,7.2,120.0,Crime,142.22
The Train,5800000.0,6800000.0,7.8,133.0,War,17.24
88 Minutes,30000000.0,32593385.0,5.9,108.0,Thriller,8.64
A Scanner Darkly,8700000.0,7659918.0,7.0,100.0,Animation,-11.95
Under Siege 2: Dark Territory,60000000.0,104324083.0,5.6,99.0,Action,73.87
Working Girl,28000000.0,103173635.0,6.8,114.0,Comedy,268.48
Frances,8000000.0,5000000.0,7.2,140.0,Drama,-37.5
Don't Come Knocking,11000000.0,4663501.0,6.6,123.0,Drama,-57.6
The Thin Man,226408.0,1423000.0,7.9,91.0,Comedy,528.51
U-571,62000000.0,127700000.0,6.6,116.0,War,105.97
Fame,8500000.0,42000000.0,6.6,134.0,Drama,394.12
"Girl, Interrupted",40000000.0,48350205.0,7.3,127.0,Drama,20.88
I Now Pronounce You Chuck & Larry,85000000.0,187134117.0,5.9,115.0,Comedy,120.16
Emma,6000000.0,22231658.0,6.6,121.0,Romance,270.53
Changeling,55000000.0,113400000.0,7.7,141.0,Crime,106.18
Prêt-à-Porter,15000000.0,11300653.0,5.2,133.0,Comedy,-24.66
The Number 23,30000000.0,77677553.0,6.4,98.0,Thriller,158.93
Ransom,80000000.0,309492681.0,6.7,121.0,Action,286.87
I Know What You Did Last Summer,17000000.0,125586134.0,5.8,102.0,Horror,638.74
I Still Know What You Did Last Summer,24000000.0,84002112.0,4.8,100.0,Horror,250.01
Flash Gordon,35000000.0,27100000.0,6.5,111.0,Science Fiction,-22.57
Tara Road,12000000.0,875898.0,6.0,101.0,Drama,-92.7
Girl with a Pearl Earring,10500000.0,31500000.0,6.9,101.0,Drama,200.0
No Reservations,28000000.0,92601050.0,6.3,104.0,Comedy,230.72
54,13000000.0,16757163.0,5.9,93.0,Drama,28.9
Flags of Our Fathers,90000000.0,65900249.0,7.1,135.0,War,-26.78
Apache Gold,2100000.0,36700000.0,6.8,101.0,Western,1647.62
The Lady from Shanghai,2300000.0,1564609.0,7.5,87.0,Mystery,-31.97
Gilda,2000000.0,6000000.0,7.6,110.0,Romance,200.0
Frankie and Johnny,29000000.0,22773535.0,6.8,118.0,Drama,-21.47
Buck Rogers in the 25th Century,3500000.0,21700000.0,6.5,89.0,Science Fiction,520.0
Things We Lost in the Fire,16000000.0,2849142.0,7.1,113.0,Drama,-82.19
I'm Not There,20000000.0,4001121.0,6.8,135.0,Drama,-79.99
Corpse Bride,40000000.0,118133252.0,7.4,77.0,Romance,195.33
Critters,2000000.0,13167232.0,6.1,86.0,Comedy,558.36
What Women Want,70000000.0,374100000.0,6.5,127.0,Comedy,434.43
Team America: World Police,32000000.0,50826898.0,7.2,98.0,Adventure,58.83
Beetlejuice,15000000.0,84554197.0,7.5,92.0,Fantasy,463.69
The Believer,1500000.0,1309316.0,7.1,98.0,Drama,-12.71
My Girl,17000000.0,59490000.0,6.9,103.0,Comedy,249.94
Law of Desire,600000.0,1400000.0,7.1,102.0,Drama,133.33
Black Rain,30000000.0,134212055.0,6.6,125.0,Drama,347.37
The Transporter,21000000.0,43900000.0,6.8,92.0,Action,109.05
Blow,53000000.0,83300000.0,7.5,124.0,Crime,57.17
Shoot 'Em Up,39000000.0,26800000.0,6.6,86.0,Action,-31.28
Road to Perdition,80000000.0,181001478.0,7.7,117.0,Crime,126.25
Revolutionary Road,35000000.0,76000000.0,7.3,119.0,Drama,117.14
Heyy Babyy,9400000.0,2200000.0,6.1,150.0,Comedy,-76.6
Breach,23000000.0,41000000.0,7.0,110.0,Drama,78.26
Spellbound,1500000.0,7000000.0,7.5,111.0,Thriller,366.67
Under Capricorn,2500000.0,1500000.0,6.2,118.0,Drama,-40.0
Murder on the Orient Express,1400000.0,35700000.0,7.2,128.0,Drama,2450.0
The Bride Wore Black,747000.0,9600000.0,7.2,107.0,Crime,1185.14
Death on the Nile,7920000.0,14560084.0,7.3,140.0,Mystery,83.84
Evil Under the Sun,10000000.0,6110804.0,7.0,117.0,Thriller,-38.89
Women on the Verge of a Nervous Breakdown,700000.0,14979298.0,7.5,88.0,Comedy,2039.9
The French Revolution,50000000.0,4800000.0,7.7,335.0,Drama,-90.4
Scream,14000000.0,173046663.0,7.4,112.0,Crime,1136.05
Scream 2,24000000.0,172363301.0,6.3,120.0,Horror,618.18
Scream 3,40000000.0,161834276.0,5.7,116.0,Horror,304.59
The Kid,65000000.0,110317580.0,6.1,104.0,Fantasy,69.72
Scary Movie,19000000.0,278019771.0,6.3,88.0,Comedy,1363.26
Scary Movie 2,45000000.0,141220678.0,5.4,82.0,Comedy,213.82
Veer-Zaara,7000000.0,29385320.0,7.8,192.0,Drama,319.79
Chalte Chalte,4600000.0,18000000.0,6.5,175.0,Comedy,291.3
Scary Movie 3,48000000.0,220673217.0,5.6,84.0,Comedy,359.74
Scary Movie 4,45000000.0,178262620.0,5.1,83.0,Comedy,296.14
Scary Movie 5,20000000.0,78378744.0,3.6,88.0,Comedy,291.89
Appointment with Death,6000000.0,960040.0,6.1,102.0,Thriller,-84.0
The Flower of My Secret,4500000.0,19000000.0,7.0,103.0,Drama,322.22
Charlie's Angels,92000000.0,264105545.0,5.6,98.0,Action,187.07
Atonement,30000000.0,131016624.0,7.8,123.0,Drama,336.72
Pride & Prejudice,28000000.0,124604345.0,7.8,127.0,Drama,345.02
The Kingdom,70000000.0,86658558.0,7.0,110.0,Thriller,23.8
Bordertown,21000000.0,8329799.0,6.0,112.0,Crime,-60.33
Monster-in-Law,43000000.0,154749918.0,5.6,101.0,Romance,259.88
Shall We Dance?,50000000.0,170128460.0,6.2,107.0,Drama,240.26
The Three Investigators in The Secret of Skeleton Island,11000000.0,7800000.0,5.7,91.0,Mystery,-29.09
The Brave One,70000000.0,69766619.0,6.7,122.0,Crime,-0.33
Les Misérables,14000000.0,14096321.0,7.4,134.0,Crime,0.69
G.I. Jane,50000000.0,48169156.0,6.0,125.0,Action,-3.66
Aśoka,17000000.0,19000000.0,6.4,175.0,Action,11.76
2010,28000000.0,40400000.0,6.7,116.0,Thriller,44.29
The Brothers Grimm,88000000.0,105300000.0,5.9,118.0,Adventure,19.66
Seabiscuit,87000000.0,148300000.0,7.3,141.0,Drama,70.46
Legends of the Fall,30000000.0,160638883.0,7.5,133.0,Drama,435.46
The Devil's Own,90000000.0,140807547.0,6.2,107.0,Crime,56.45
Indecent Proposal,38000000.0,266614059.0,6.0,117.0,Romance,601.62
La Cage aux Folles,1100000.0,20424259.0,7.2,92.0,Comedy,1756.75
Friday the 13th,550000.0,59754601.0,6.4,95.0,Horror,10764.47
"Pepi, Luci, Bom",46000.0,332089.0,6.1,82.0,Comedy,621.93
The Assassination of Jesse James by the Coward Robert Ford,30000000.0,14711793.0,7.5,159.0,Drama,-50.96
30 Days of Night,30000000.0,80276156.0,6.6,113.0,Horror,167.59
Lions for Lambs,35000000.0,64811540.0,6.2,92.0,Action,85.18
Elizabeth: The Golden Age,55000000.0,74237563.0,6.8,114.0,Drama,34.98
Elizabeth,30000000.0,82150642.0,7.4,124.0,Drama,173.84
Enchanted,85000000.0,340487652.0,7.1,107.0,Comedy,300.57
The Darjeeling Limited,16000000.0,24377151.0,7.2,92.0,Adventure,52.36
Monty Python's The Meaning of Life,9000000.0,42749697.0,7.5,107.0,Comedy,375.0
Panic Room,48000000.0,197100000.0,6.8,111.0,Crime,310.62
Be Cool,53000000.0,95200000.0,5.6,118.0,Comedy,79.62
A Tale of Two Sisters,15100000.0,1100000.0,7.1,115.0,Drama,-92.72
The Machinist,5000000.0,8203235.0,7.6,101.0,Thriller,64.06
Sex and the City,65000000.0,418800000.0,5.7,146.0,Comedy,544.31
Michael Clayton,25000000.0,92991835.0,7.2,119.0,Drama,271.97
Sense and Sensibility,16000000.0,134582776.0,7.7,136.0,Drama,741.14
Mermaids,31000000.0,35419397.0,6.7,110.0,Comedy,14.26
"Lust, Caution",15000000.0,67100000.0,7.5,158.0,Action,347.33
Carolina,15000000.0,308641.0,6.1,97.0,Comedy,-97.94
The Discreet Charm of the Bourgeoisie,800000.0,103230.0,7.7,101.0,Comedy,-87.1
Armored,20000000.0,22942221.0,5.7,88.0,Action,14.71
Raising Helen,50000000.0,49700000.0,6.0,119.0,Drama,-0.6
Absolon,8000000.0,7016.0,4.2,96.0,Action,-99.91
The Sum of All Fears,68000000.0,193921372.0,6.5,124.0,Thriller,185.18
December Boys,4000000.0,1200000.0,6.5,105.0,Drama,-70.0
Hot Fuzz,12000000.0,80600000.0,7.8,121.0,Crime,571.67
The Guardian,10000000.0,94973540.0,6.9,139.0,Action,849.74
Across the Universe,45000000.0,29625761.0,7.3,133.0,Drama,-34.16
Sympathy for Mr. Vengeance,4000000.0,1954937.0,7.5,129.0,Action,-51.13
At Long Last Love,6000000.0,1500000.0,5.3,125.0,Comedy,-75.0
Body Snatchers,13000000.0,428868.0,6.0,87.0,Horror,-96.7
Southland Tales,17000000.0,374743.0,5.3,144.0,Science Fiction,-97.8
Gone Baby Gone,19000000.0,34600000.0,7.6,113.0,Crime,82.11
Obsession,1400000.0,4468000.0,6.7,99.0,Thriller,219.14
Cassandra's Dream,15000000.0,22687639.0,6.6,108.0,Crime,51.25
Runaway Bride,70000000.0,309500000.0,5.6,116.0,Comedy,342.14
Charade,4000000.0,13475000.0,7.8,113.0,Comedy,236.88
Ghost Dog: The Way of the Samurai,2000000.0,9392768.0,7.5,116.0,Crime,369.64
Final Analysis,32000000.0,28600000.0,5.9,124.0,Drama,-10.62
The Jackal,60000000.0,159300000.0,6.4,124.0,Action,165.5
Guys and Dolls,5500000.0,6874673.0,7.1,149.0,Comedy,24.99
Layer Cake,6500000.0,11900000.0,7.2,105.0,Drama,83.08
The Invasion,80000000.0,40170558.0,5.9,99.0,Horror,-49.79
Dark Blue,15000000.0,12150301.0,6.6,118.0,Crime,-19.0
Confessions of a Dangerous Mind,30000000.0,33013805.0,7.0,113.0,Comedy,10.05
Guilty as Sin,12000000.0,22866222.0,5.7,107.0,Thriller,90.55
A Boy and His Dog,400000.0,6900000.0,6.4,90.0,Drama,1625.0
The Fourth Protocol,6000000.0,12423831.0,6.5,119.0,Action,107.06
The Curious Case of Benjamin Button,150000000.0,335802786.0,7.8,166.0,Drama,123.87
Zardoz,1570000.0,1800000.0,5.8,105.0,Fantasy,14.65
Edge of Seventeen,1500000.0,870751.0,6.8,104.0,Comedy,-41.95
Hang 'em High,1800000.0,6800000.0,7.0,114.0,Western,277.78
A Guide for the Married Man,3325000.0,5000000.0,6.6,89.0,Comedy,50.38
Howl's Moving Castle,24000000.0,236049757.0,8.2,119.0,Fantasy,883.54
Leatherheads,58000000.0,41299492.0,6.0,114.0,Comedy,-28.79
Burn After Reading,37000000.0,163700000.0,7.0,96.0,Comedy,342.43
Man on Fire,1180000.0,1415000.0,6.5,95.0,Drama,19.92
10 Things I Hate About You,16000000.0,53478166.0,7.4,97.0,Comedy,234.24
Pillow Talk,1600000.0,18750000.0,7.4,102.0,Comedy,1071.88
Be Kind Rewind,20000000.0,30600000.0,6.4,102.0,Drama,53.0
Drop Zone,45000000.0,62000000.0,5.6,101.0,Action,37.78
The Legend of Bagger Vance,80000000.0,39459427.0,6.7,126.0,Drama,-50.68
The International,50000000.0,60161391.0,6.5,118.0,Action,20.32
"Synecdoche, New York",20000000.0,4383538.0,7.5,124.0,Drama,-78.08
Mimic,30000000.0,25480490.0,6.0,105.0,Horror,-15.07
Knocked Up,30000000.0,219900000.0,6.9,129.0,Comedy,633.0
Impostor,40000000.0,8694320.0,6.1,102.0,Action,-78.26
Keeping the Faith,30000000.0,59945183.0,6.4,127.0,Comedy,99.82
Gothika,40000000.0,141591324.0,5.8,98.0,Horror,253.98
An American Tail,9000000.0,84542002.0,6.9,80.0,Animation,839.36
American Gangster,100000000.0,269755430.0,7.8,157.0,Drama,169.76
The Longest Yard,2900000.0,43008075.0,7.1,121.0,Comedy,1383.04
Hustle,3050000.0,10390000.0,6.2,120.0,Crime,240.66
Boogie Nights,15000000.0,43101594.0,7.9,156.0,Drama,187.34
Wonderland,5000000.0,2466444.0,6.5,104.0,Crime,-50.67
Lifeguard,900000.0,5400000.0,6.6,96.0,Comedy,500.0
Vicky Cristina Barcelona,15000000.0,96409830.0,7.1,96.0,Drama,542.73
Pharaoh,10000000.0,10000000.0,7.3,151.0,History,0.0
Prospero's Books,1738125.0,1750301.0,6.8,120.0,Fantasy,0.7
The Sugarland Express,3000000.0,12800000.0,6.7,110.0,Crime,326.67
August Rush,25000000.0,66122026.0,7.4,114.0,Family,164.49
Rendition,27500000.0,24748670.0,6.8,120.0,Drama,-10.0
Martian Child,27000000.0,9400000.0,6.7,106.0,Comedy,-65.19
Sky Captain and the World of Tomorrow,70000000.0,57958696.0,6.1,107.0,Mystery,-17.2
The Fox and the Child,13000000.0,29610210.0,6.8,94.0,Adventure,127.77
Hannah and Her Sisters,6400000.0,40084041.0,7.8,107.0,Comedy,526.31
The In-Laws,40000000.0,26800000.0,5.7,98.0,Action,-33.0
Bicycle Thieves,133000.0,450159.0,8.2,89.0,Drama,238.47
Saint-Jacques… La Mecque,11500000.0,9400000.0,6.3,103.0,Comedy,-18.26
The Astronaut Farmer,13000000.0,11130889.0,6.3,104.0,Science Fiction,-14.38
Rush Hour 3,140000000.0,258097122.0,6.2,90.0,Action,84.36
Rush Hour 2,90000000.0,347325802.0,6.7,90.0,Action,285.92
3:10 to Yuma,55000000.0,70000000.0,7.6,122.0,Western,27.27
The Private Life of Sherlock Holmes,10000000.0,1500000.0,7.0,125.0,Mystery,-85.0
Wild Orchid,7000000.0,11060485.0,4.5,105.0,Drama,58.01
Kontroll,500000.0,1277800.0,7.6,107.0,Comedy,155.56
The Boss of It All,3000000.0,3100000.0,6.6,99.0,Comedy,3.33
Stay Hungry,5000000.0,24854765.0,5.6,102.0,Comedy,397.1
Kiss Kiss Bang Bang,15000000.0,15785148.0,7.5,103.0,Comedy,5.23
The Polar Express,165000000.0,318432432.0,6.6,100.0,Animation,92.99
Gosford Park,19800000.0,87754044.0,7.2,137.0,Drama,343.2
Chaos,30000000.0,7000000.0,6.4,106.0,Drama,-76.67
Apartment Zero,4000000.0,670774.0,6.8,124.0,Thriller,-83.23
"Salò, or the 120 Days of Sodom",800000.0,1800000.0,5.8,116.0,Horror,125.0
The Hunting Party,15000000.0,7600000.0,6.7,101.0,Action,-49.33
Fred Claus,100000000.0,97800000.0,5.7,115.0,Action,-2.2
Happily N'Ever After,47000000.0,38100000.0,4.5,87.0,Adventure,-18.94
Beowulf,20000000.0,1531251.0,4.1,95.0,Adventure,-92.34
Battlefield Earth,44000000.0,29725663.0,2.5,117.0,Science Fiction,-32.44
The Fugitive,44000000.0,183875799.0,7.8,131.0,Action,317.9
The Ladykillers,35000000.0,76700000.0,6.2,104.0,Comedy,119.14
